city,country,latitude,longitude,max temperature,humidity,cloudiness,wind speed,date
madera,US,37.17,-119.83,89.01,31,0,3.78,1593056491
bud,US,39.45,-86.18,68.0,75,0,4.43,1593056491
charters towers,AU,-20.1,146.27,73.08,35,0,6.4,1593056491
macau,MO,22.2,113.55,91.4,79,40,17.22,1593056491
zhezkazgan,KZ,47.8,67.71,73.4,18,48,6.71,1593056492
santa rosa,PH,14.31,121.11,93.0,66,40,5.82,1593056492
agadir,MA,30.42,-9.6,66.2,88,20,0.92,1593056342
berberati,CF,4.26,15.79,67.42,99,93,2.8,1593056492
pachino,IT,36.72,15.09,64.99,82,0,2.48,1593056492
bengkulu,ID,-3.8,102.27,85.23,57,7,2.62,1593055866
chara,RU,56.91,118.26,70.18,43,62,7.07,1593056492
chapleau,CA,47.84,-83.4,49.91,95,100,8.97,1593056492
zenzeli,RU,45.92,47.05,80.15,49,95,12.3,1593056493
langsa,ID,4.47,97.97,85.78,66,84,4.32,1593056493
asau,RO,46.43,26.4,62.01,93,46,2.84,1593056062
krasnoselkup,RU,65.7,82.47,64.74,41,0,3.56,1593056103
kyabe,TD,9.45,18.94,73.18,88,100,4.21,1593056493
khatanga,RU,71.97,102.5,83.98,24,99,13.65,1593056059
mnogovershinnyy,RU,53.94,139.92,49.64,97,100,1.95,1593056493
ukhta,RU,63.57,53.68,44.6,93,100,7.9,1593056493
jati,PK,24.35,68.27,93.27,54,65,14.23,1593056493
cabo san lucas,MX,22.89,-109.91,86.0,23,5,16.11,1593055848
jaguey grande,CU,22.53,-81.13,77.0,94,5,1.12,1593056494
alofi,NU,-19.06,-169.92,78.8,78,75,12.75,1593056069
cartagena,CO,10.4,-75.51,79.97,85,12,8.75,1593056465
cherskiy,RU,68.75,161.3,64.65,32,91,3.58,1593056095
bredasdorp,ZA,-34.53,20.04,41.0,100,0,4.72,1593056062
ca mau,VN,9.18,105.15,87.82,70,91,6.89,1593056251
te anau,NZ,-45.42,167.72,43.29,78,23,0.72,1593056105
ayna,PE,-12.65,-73.92,59.09,72,89,1.05,1593056495
aginskoye,RU,51.1,114.53,70.54,50,37,9.06,1593056442
dohar,BD,23.59,90.15,87.8,74,75,11.41,1593056495
narsaq,GL,60.92,-46.05,42.8,87,100,3.36,1593056091
souillac,MU,-20.52,57.52,71.6,88,75,14.99,1593056105
potosi,BO,-19.58,-65.75,33.82,60,0,2.73,1593056495
richards bay,ZA,-28.78,32.04,62.58,69,0,13.35,1593056110
ziro,IN,27.63,93.83,61.38,100,100,0.98,1593056496
sirur,IN,18.83,74.38,83.16,62,43,5.41,1593056496
dzilam gonzalez,MX,21.28,-88.93,82.99,73,97,6.71,1593056496
tecpan,GT,14.76,-90.99,62.6,93,75,3.36,1593056496
takoradi,GH,4.88,-1.76,77.07,89,79,8.05,1593056496
datong,CN,40.09,113.29,81.5,19,0,17.36,1593056496
abu samrah,SY,35.3,37.18,66.87,71,0,9.84,1593056496
jalu,LY,29.03,21.55,70.63,65,0,9.26,1593056065
conde,BR,-7.26,-34.91,72.79,84,11,9.37,1593056307
namibe,AO,-15.2,12.15,66.72,63,0,7.85,1593056090
crotone,IT,39.09,17.12,71.06,67,0,5.48,1593056497
talnakh,RU,69.49,88.4,62.6,63,36,4.47,1593056081
redwater,US,33.36,-94.25,75.99,83,1,5.06,1593056497
strezhevoy,RU,60.73,77.59,59.0,77,40,8.95,1593056200
maltahohe,NA,-24.83,16.98,45.59,54,0,5.19,1593056497
batagay-alyta,RU,67.8,130.41,81.18,25,63,5.08,1593056497
banjar,ID,-8.19,114.97,82.4,78,40,14.99,1593056097
bamenda,CM,5.95,10.16,61.27,86,88,2.1,1593056498
male,MV,4.17,73.51,83.41,78,100,14.97,1593056498
shirokiy,RU,49.76,129.52,60.57,91,100,6.17,1593056498
port macquarie,AU,-31.43,152.92,68.0,59,0,3.0,1593056498
aflao,TG,6.12,1.19,78.8,88,20,6.93,1593056498
norman wells,CA,65.28,-126.83,53.6,81,90,3.36,1593056089
pavilosta,LV,56.89,21.19,59.0,87,0,2.24,1593056498
khandbari,NP,27.37,87.2,84.79,58,35,2.62,1593056498
paraiso,CR,9.84,-83.87,69.8,100,75,4.7,1593056499
faanui,PF,-16.48,-151.75,79.56,83,6,6.46,1593056077
waingapu,ID,-9.66,120.26,84.36,59,84,13.33,1593056085
store heddinge,DK,55.31,12.39,62.6,93,99,1.12,1593056499
hrubieszow,PL,50.8,23.89,61.84,93,19,8.72,1593056499
